300	37.398	164.352
301.804	37.2308	164.489
303.607	37.063	164.64
305.411	36.8947	164.804
307.214	36.7263	164.982
309.018	36.5581	165.174
310.822	36.428	165.312
312.625	36.3425	165.371
314.429	36.2565	165.434
316.232	36.1699	165.499
318.036	36.0828	165.568
319.84	35.9952	165.639
321.643	35.9388	165.748
323.447	35.8859	165.863
325.251	35.8335	165.979
327.054	35.7817	166.096
328.858	35.7304	166.216
330.661	35.6903	166.333
332.465	35.6689	166.444
334.269	35.6481	166.555
336.072	35.6277	166.666
337.876	35.6079	166.777
339.679	35.5885	166.888
341.483	35.6032	167.016
343.287	35.6255	167.146
345.09	35.6479	167.275
346.894	35.6706	167.402
348.697	35.6935	167.527
350.501	35.7347	167.699
352.305	35.8228	167.985
354.108	35.9105	168.261
355.912	35.9977	168.528
357.715	36.0842	168.784
359.519	36.1701	169.032
361.323	36.165	169.574
363.126	36.1436	170.217
364.93	36.1405	170.846
366.733	36.1544	171.459
368.537	36.184	172.054
370.341	36.1774	172.598
372.144	35.9622	173.026
373.948	35.7527	173.493
375.752	35.5506	174.002
377.555	35.3582	174.552
379.359	35.1778	175.143
381.162	34.9949	175.484
382.966	34.8017	175.686
384.77	34.604	175.905
386.573	34.4018	176.144
388.377	34.1954	176.404
390.18	33.9916	176.663
391.984	33.8444	176.727
393.788	33.6936	176.795
395.591	33.539	176.868
397.395	33.3804	176.945
399.198	33.2177	177.027
401.002	33.083	177.086
402.806	32.9715	177.123
404.609	32.858	177.163
406.413	32.7424	177.204
408.216	32.6247	177.246
410.02	32.5052	177.29
411.824	32.4144	177.325
413.627	32.3223	177.361
415.431	32.2289	177.399
417.234	32.1342	177.437
419.038	32.0381	177.476
420.842	31.9496	177.512
422.645	31.8703	177.545
424.449	31.79	177.578
426.253	31.7088	177.611
428.056	31.6266	177.646
429.86	31.5435	177.681
431.663	31.4745	177.711
433.467	31.4061	177.741
435.271	31.337	177.772
437.074	31.2673	177.802
438.878	31.1969	177.834
440.681	31.129	177.863
442.485	31.0658	177.886
